,id,resolution,release_year,interaction_type,-log(kd/ki),binding_type,binding_affinity
0,2tpi,2.1,1982,protein-ligand,4.31,kd,9.923690259853647
1,5tln,2.3,1982,protein-ligand,,ki,14.659480628258803
2,4tln,2.3,1982,protein-ligand,3.72,ki,8.568486485803788
3,4cts,2.9,1984,protein-ligand,,kd,11.512925464970229
4,6rsa,,1986,protein-ligand,,ki,10.126631103850338
5,1rnt,1.9,1987,protein-ligand,5.19,kd,11.943708381062683
6,6cha,1.8,1987,protein-ligand,,ki,10.126631103850338
7,4ts1,2.5,1989,protein-ligand,4.94,kd,11.364505459851955
8,4tmn,1.7,1989,protein-ligand,10.17,ki,23.41151341075244
9,2tmn,1.6,1989,protein-ligand,5.89,ki,13.553146293496782
10,1tlp,2.3,1989,protein-ligand,7.55,ki,17.391061326771208
11,1tmn,1.9,1989,protein-ligand,7.3,ki,16.811242831518264
12,5tmn,1.6,1989,protein-ligand,8.04,ki,18.514991423423606
13,4fab,2.7,1990,protein-ligand,,kd,18.54851411546225
14,1p01,2.0,1990,protein-ligand,,ki,21.77308796144509
15,3at1,2.8,1990,protein-ligand,,ki,7.3232707229438025
16,1p05,2.1,1990,protein-ligand,,ki,13.72020037815995
17,1p10,2.25,1990,protein-ligand,,ki,15.424948470398375
18,6gch,2.1,1990,protein-ligand,,ki,10.819778284410283
19,7gch,1.8,1990,protein-ligand,,ki,13.122363377404328
20,1p04,2.55,1990,protein-ligand,,ki,17.034386382832476
21,1p06,2.34,1990,protein-ligand,,ki,14.431696697388091
22,1p03,2.15,1990,protein-ligand,,ki,18.866967846580785
23,1p02,2.0,1990,protein-ligand,,ki,16.518573217555446
24,8abp,1.49,1991,protein-ligand,,kd,18.420680743952367
25,1rbp,2.0,1991,protein-ligand,6.72,kd,15.476241764785925
26,7abp,1.67,1991,protein-ligand,,kd,14.865332682462952
27,6abp,1.67,1991,protein-ligand,,kd,14.636491110034104
28,1fkf,1.7,1991,protein-ligand,9.4,kd,21.639556568820566
29,9icd,2.5,1991,protein-ligand,,kd,8.987196820661973
30,6apr,2.5,1991,protein-ligand,,ki,17.890052492890195
31,4er1,2.0,1991,protein-ligand,6.62,ki,15.234328110789725
32,5er2,1.8,1991,protein-ligand,6.57,ki,15.124843877948036
33,4er2,2.0,1991,protein-ligand,9.3,ki,21.416413017506358
34,2ypi,2.5,1991,protein-ligand,4.82,ki,11.107460356862065
35,4er4,2.1,1991,protein-ligand,,ki,15.648092021712584
36,5apr,2.1,1991,protein-ligand,,ki,17.890052492890195
37,3er5,1.8,1991,protein-ligand,,ki,20.72326583694641
38,4apr,2.5,1991,protein-ligand,,ki,15.424948470398375
39,5hvp,2.0,1991,protein-ligand,,ki,17.72753356339242
40,6cpa,2.0,1991,protein-ligand,11.52,ki,19.624653548278303
41,2er9,2.2,1991,protein-ligand,,ki,17.034386382832476
42,2er0,3.0,1991,protein-ligand,,ki,14.683011125668997
43,4sga,1.8,1991,protein-ligand,7.3,ki,16.811242831518264
44,2er6,2.0,1991,protein-ligand,,ki,16.62892127472431
45,3er3,2.0,1991,protein-ligand,,ki,16.328816682273974
46,5er1,2.0,1991,protein-ligand,6.02,ki,13.85633255248453
47,9abp,1.97,1992,protein-ligand,,kd,18.420680743952367
48,1bap,1.75,1992,protein-ligand,,kd,15.781623414337107
49,5abp,1.8,1992,protein-ligand,,kd,15.285186528023216
50,8gpb,2.2,1992,protein-ligand,,kd,8.294049640102028
51,1apb,1.76,1992,protein-ligand,,kd,13.403400907137442
52,7gpb,2.9,1992,protein-ligand,,kd,12.716898269296165
53,1stp,2.6,1992,protein-ligand,,kd,23.942141661814613
54,5est,2.09,1992,protein-ligand,,ki,15.01948336229021
55,6tim,2.2,1992,protein-ligand,,ki,7.402051600796917
56,6gpb,2.86,1992,protein-ligand,,ki,11.176453228349015
57,9hvp,2.8,1992,protein-ligand,,ki,19.219188440170136
58,4tim,2.4,1992,protein-ligand,2.16,ki,4.976233867378923
59,4est,1.78,1992,protein-ligand,,ki,11.564218759357779
60,2mip,2.2,1993,protein-ligand,,ic50,19.470502868451042
61,4phv,2.1,1993,protein-ligand,,ic50,21.123743403543536
62,1rne,2.4,1993,protein-ligand,,ic50,20.030118656386467
63,1ind,2.2,1993,protein-ligand,,kd,23.131211445598282
64,1igj,2.5,1993,protein-ligand,10.0,kd,23.025850929940457
65,1fkb,1.7,1993,protein-ligand,9.7,kd,22.33270374938051
66,1gca,1.7,1993,protein-ligand,,kd,15.424948470398375
67,1l83,1.7,1993,protein-ligand,3.4,kd,7.824046010856292
68,2avi,3.0,1993,protein-ligand,,kd,28.14184673969454
69,1rin,2.6,1993,protein-ligand,,kd,7.264430222920869
70,1dmb,1.8,1993,protein-ligand,,kd,13.227723893062155
71,1atr,2.34,1993,protein-ligand,6.96,kd,16.022785471153995
72,1dbb,2.7,1993,protein-ligand,,kd,20.72326583694641
73,1pop,2.1,1993,protein-ligand,,kd,20.72326583694641
74,1gpy,2.4,1993,protein-ligand,,kd,10.819778284410283
75,1abf,1.9,1993,protein-ligand,,kd,12.480509491231935
76,1rgl,2.0,1993,protein-ligand,,kd,10.20459264532005
77,6rnt,1.8,1993,protein-ligand,2.37,kd,5.44914025628262
78,1rgk,1.87,1993,protein-ligand,,kd,9.9216515231638
79,1hiv,2.0,1993,protein-ligand,,ki,20.72326583694641
80,1pip,1.7,1993,protein-ligand,,ki,11.512925464970229
81,8hvp,2.5,1993,protein-ligand,,ki,20.72326583694641
82,3gst,1.9,1993,protein-ligand,6.72,ki,15.476241764785925
83,1cps,2.25,1993,protein-ligand,6.66,ki,15.32963829059405
84,7hvp,2.4,1993,protein-ligand,,ki,22.150382192586555
85,2gst,1.8,1993,protein-ligand,6.07,ki,13.978029487462049
86,2lpr,2.25,1993,protein-ligand,,ki,20.46090157247892
87,3lpr,2.15,1993,protein-ligand,,ki,13.72020037815995
88,1ppm,1.7,1993,protein-ligand,5.8,ki,13.345506928718539
89,1hos,2.3,1993,protein-ligand,8.55,ki,19.69364641976525
90,1ppl,1.7,1993,protein-ligand,8.55,ki,19.69364641976525
91,9lpr,2.2,1993,protein-ligand,,ki,13.122363377404328
92,8lpr,2.25,1993,protein-ligand,,ki,15.24262691360442
93,5lpr,2.13,1993,protein-ligand,,ki,15.124843877948036
94,1bcd,1.9,1993,protein-ligand,8.7,ki,20.030118656386467
95,1ivp,2.5,1993,protein-ligand,7.52,ki,17.322068455284256
96,1trd,2.5,1993,protein-ligand,5.4,ki,12.429216196844383
97,6lpr,2.1,1993,protein-ligand,,ki,16.811242831518264
98,7lpr,2.05,1993,protein-ligand,,ki,16.533611094919987
99,1mns,2.0,1993,protein-ligand,,ki,9.610817938573309
100,1ths,2.2,1994,protein-ligand,,ic50,17.355970006959936
101,1htf,2.2,1994,protein-ligand,,ic50,15.726053563182296
102,2hmb,2.1,1994,protein-ligand,,ic50,12.859999112936837
103,1him,2.9,1994,protein-ligand,,ic50,17.72753356339242
104,1dbj,2.7,1994,protein-ligand,,ic50,17.678743399222988
105,1hte,2.8,1994,protein-ligand,,ic50,12.997935799029277
106,2dbl,2.9,1994,protein-ligand,,ic50,20.030118656386467
107,1htg,2.0,1994,protein-ligand,,ic50,19.38826477021407
108,1thr,2.3,1994,protein-ligand,,ic50,12.380426032674952
109,1acj,2.8,1994,protein-ligand,,ic50,18.619131682676205
110,1dbk,3.0,1994,protein-ligand,,ic50,18.643824295266576
111,1hsl,1.89,1994,protein-ligand,7.19,kd,16.564382753586738
112,2drc,1.9,1994,protein-ligand,9.89,kd,22.763486665472964
113,1sre,1.78,1994,protein-ligand,,kd,8.87386813535497
114,1sri,1.65,1994,protein-ligand,,kd,14.001840136155767
115,1tka,2.7,1994,protein-ligand,,kd,14.038654109278484
116,1abt,,1994,protein-ligand,,kd,13.479038321343062
117,1lst,1.8,1994,protein-ligand,7.85,kd,18.08420850733115
118,1tkc,2.7,1994,protein-ligand,,kd,11.176453228349015
119,1avd,2.7,1994,protein-ligand,,kd,27.631021115928547
120,1ctr,2.45,1994,protein-ligand,,kd,13.815510557964274
121,1hgi,2.7,1994,protein-ligand,,kd,6.165817934252759
122,1hgj,2.7,1994,protein-ligand,,kd,3.816712825623821
123,1dhj,1.8,1994,protein-ligand,6.55,kd,15.084911167612665
124,1tys,1.8,1994,protein-ligand,,kd,12.630720573055113
125,1sps,2.7,1994,protein-ligand,,kd,19.624653548278303
126,1pyg,2.87,1994,protein-ligand,,kd,12.716898269296165
127,1adl,1.6,1994,protein-ligand,5.36,kd,12.333906017040059
128,1mfd,2.1,1994,protein-ligand,5.31,kd,12.226275352847694
129,1hge,2.6,1994,protein-ligand,,kd,5.221356325411908
130,2cgr,2.2,1994,protein-ligand,7.28,kd,16.75297392339429
131,1dhi,1.9,1994,protein-ligand,7.26,kd,16.715932651713942
132,1srg,1.8,1994,protein-ligand,5.3,kd,12.206072645530174
133,1erb,1.9,1994,protein-ligand,8.1,kd,18.643824295266576
134,1mfa,1.7,1994,protein-ligand,5.04,kd,11.60723614444147
135,1tni,1.9,1994,protein-ligand,4.0,ki,9.210340371976182
136,2ctc,1.4,1994,protein-ligand,3.89,ki,8.947976107508692
137,1add,2.4,1994,protein-ligand,6.74,ki,15.5303089860562
138,1tmb,2.3,1994,protein-ligand,,ki,15.5303089860562
139,1elc,1.75,1994,protein-ligand,6.66,ki,15.32963829059405
140,1wht,2.0,1994,protein-ligand,3.7,ki,8.517193191416238
141,1tsi,2.84,1994,protein-ligand,,ki,8.016417903503749
142,1cil,1.6,1994,protein-ligand,,ki,21.71751811029028
143,2sim,1.6,1994,protein-ligand,3.42,ki,7.875339305243843
144,1thl,1.7,1994,protein-ligand,,ki,14.78309458422598
145,1tnh,1.8,1994,protein-ligand,3.37,ki,7.751725349276666
146,1ela,2.0,1994,protein-ligand,6.36,ki,14.636491110034104
147,1cbx,2.0,1994,protein-ligand,6.35,ki,14.614018254182046
148,1inc,1.94,1994,protein-ligand,,ki,21.499794626445407
149,1ppc,1.8,1994,protein-ligand,6.16,ki,14.186574239355107
150,1hps,2.3,1994,protein-ligand,9.22,ki,21.234091460712403
151,1fig,3.0,1994,protein-ligand,,ki,14.326336181730264
152,1tet,2.3,1994,protein-ligand,,ki,14.001840136155767
153,1azm,2.0,1994,protein-ligand,6.1,ki,14.038654109278484
154,1rpa,3.0,1994,protein-ligand,,ki,13.815510557964274
155,1tng,1.8,1994,protein-ligand,2.93,ki,6.750751530172472
156,1pph,1.9,1994,protein-ligand,5.92,ki,13.633189001170319
157,1ett,2.5,1994,protein-ligand,,ki,13.553146293496782
158,1cim,2.1,1994,protein-ligand,,ki,20.304555502088228
159,1csi,1.7,1994,protein-ligand,,ki,20.253262207700676
160,1cin,2.1,1994,protein-ligand,,ki,20.091994060104554
161,1fki,2.2,1994,protein-ligand,7.0,ki,16.11809565095832
162,1rpf,2.2,1994,protein-ligand,3.99,ki,9.180781569734638
163,1gbt,2.0,1994,protein-ligand,,ki,4.605170185988091
164,1apw,1.8,1994,protein-ligand,,ki,18.420680743952367
165,1fkg,2.0,1994,protein-ligand,8.0,ki,18.420680743952367
166,1tkb,2.3,1994,protein-ligand,8.0,ki,18.420680743952367
167,1nnb,2.8,1994,protein-ligand,,ki,11.512925464970229
168,1tnj,1.8,1994,protein-ligand,,ki,4.509860006183766
169,1ent,1.9,1994,protein-ligand,,ki,16.022785471153995
170,1hvl,1.8,1994,protein-ligand,9.95,ki,16.004766965651317
171,7cpa,2.0,1994,protein-ligand,,ki,25.23312584313018
172,1epo,2.0,1994,protein-ligand,7.96,ki,18.32537056414804
173,1hvk,1.8,1994,protein-ligand,10.96,ki,18.32537056414804
174,1hvi,1.8,1994,protein-ligand,10.92,ki,18.238359187158412
175,1tnl,1.9,1994,protein-ligand,,ki,4.319991243754429
176,1bra,2.2,1994,protein-ligand,,ki,4.199705077879927
177,1hgt,2.2,1994,protein-ligand,,ki,15.712630542850155
178,1els,2.4,1994,protein-ligand,,ki,18.0152156358442
179,1eed,2.0,1994,protein-ligand,,ki,11.030499315725935
180,1heg,2.2,1994,protein-ligand,,ki,17.832894079050245
181,1sbg,2.3,1994,protein-ligand,7.74,ki,17.832894079050245
182,1apv,1.8,1994,protein-ligand,9.0,ki,20.72326583694641
183,1hef,2.2,1994,protein-ligand,,ki,20.72326583694641
184,1agm,2.3,1994,protein-ligand,,ki,20.72326583694641
185,1ppk,1.8,1994,protein-ligand,7.66,ki,17.632223383588094
186,1csh,1.65,1994,protein-ligand,,ki,17.391061326771208
187,1iht,2.1,1994,protein-ligand,,ki,19.470502868451042
188,1lyb,2.5,1994,protein-ligand,11.42,ki,19.38826477021407
189,1tnk,1.8,1994,protein-ligand,,ki,3.4265151896464454
190,1dwc,3.0,1994,protein-ligand,,ki,17.059704190816763
191,2cht,2.2,1994,protein-ligand,5.52,ki,12.716898269296165
192,1aaq,2.5,1994,protein-ligand,8.4,ki,19.33697147582652
193,1hvj,2.0,1994,protein-ligand,11.4,ki,19.33697147582652
194,1epq,1.9,1994,protein-ligand,,ki,18.85146366004482
195,1dwd,3.0,1994,protein-ligand,,ki,18.83619618791403
196,1epp,1.9,1994,protein-ligand,,ki,16.48915933234915
197,1ets,2.3,1994,protein-ligand,,ki,18.931506367718356
198,1elb,2.1,1994,protein-ligand,7.15,ki,16.474770594897052
199,8cpa,2.0,1994,protein-ligand,9.15,ki,14.158000866911049
200,1fkh,1.95,1994,protein-ligand,8.15,ki,18.7773556878911
201,1siv,2.5,1994,protein-ligand,8.08,ki,18.595034131097144
202,1ida,1.7,1995,protein-ligand,,ic50,20.030118656386467
203,1mnc,2.1,1995,protein-ligand,,ic50,23.802379719439454
204,1fta,2.3,1995,protein-ligand,,ic50,14.636491110034104
205,1shd,2.0,1995,protein-ligand,,ic50,14.215988124561399
206,1tps,1.9,1995,protein-ligand,,ic50,18.420680743952367
207,1idb,2.2,1995,protein-ligand,,ic50,18.32537056414804
208,1hrn,1.8,1995,protein-ligand,,ic50,18.526041259610192
209,1gsf,2.7,1995,protein-ligand,,ic50,11.512925464970229
210,1drj,2.5,1995,protein-ligand,7.4,kd,17.034386382832476
211,2dri,1.6,1995,protein-ligand,6.89,kd,15.85573138649083
212,1drk,2.0,1995,protein-ligand,6.82,kd,15.712630542850155
213,1flr,1.85,1995,protein-ligand,10.0,kd,23.025850929940457
214,1tyr,1.8,1995,protein-ligand,,kd,16.11809565095832
215,1hmr,1.4,1995,protein-ligand,6.55,kd,15.088476233777161
216,1hms,1.4,1995,protein-ligand,6.37,kd,14.659480628258803
217,1cbr,2.9,1995,protein-ligand,,kd,21.639556568820566
218,1hmt,1.4,1995,protein-ligand,5.79,kd,13.320814316128168
219,1cka,1.5,1995,protein-ligand,,kd,13.17365667179188
220,1utr,,1995,protein-ligand,,kd,18.420680743952367
221,1ahx,2.0,1995,protein-ligand,,kd,9.028018815182229
222,1cny,2.3,1995,protein-ligand,7.85,kd,18.08420850733115
223,1laf,2.06,1995,protein-ligand,7.85,kd,18.08420850733115
224,186l,1.8,1995,protein-ligand,4.85,kd,11.176453228349015
225,1cnw,2.0,1995,protein-ligand,7.72,kd,17.778826857779972
226,184l,1.8,1995,protein-ligand,4.72,kd,10.871071578797833
227,1lcj,1.8,1995,protein-ligand,,kd,20.72326583694641
228,1yda,2.1,1995,protein-ligand,6.55,kd,15.088476233777161
229,185l,1.8,1995,protein-ligand,3.54,kd,8.145629634983754
230,1pgp,2.5,1995,protein-ligand,5.7,kd,13.122363377404328
231,1lah,2.06,1995,protein-ligand,7.52,kd,17.322068455284256
232,187l,1.8,1995,protein-ligand,3.37,kd,7.7705052439282625
233,1cnx,1.9,1995,protein-ligand,7.37,kd,16.96206572125285
234,1ahy,2.3,1995,protein-ligand,,kd,7.728735831051967
235,188l,1.8,1995,protein-ligand,3.33,kd,7.66277786326017
236,1ckb,1.9,1995,protein-ligand,,kd,12.166851932376892
237,1ydb,1.9,1995,protein-ligand,8.24,kd,18.96540791939404
238,1lag,2.06,1995,protein-ligand,6.3,kd,14.508657738524219
239,1prl,,1995,protein-ligand,,kd,9.737973114058555
240,1prm,,1995,protein-ligand,,kd,9.737973114058555
241,1rlp,,1995,protein-ligand,,kd,11.736069016284437
242,1rlq,,1995,protein-ligand,,kd,11.736069016284437
243,1ydd,2.1,1995,protein-ligand,7.07,kd,16.268918540692905
244,1dis,,1995,protein-ligand,,ki,25.328436022934504
245,2gyi,1.6,1995,protein-ligand,7.0,ki,16.11809565095832
246,1cgl,2.4,1995,protein-ligand,6.87,ki,15.817991058507982
247,1ele,2.0,1995,protein-ligand,6.85,ki,15.781623414337107
248,2ada,2.4,1995,protein-ligand,,ki,23.025850929940457
249,1fpc,2.3,1995,protein-ligand,7.0,ki,16.11809565095832
250,1eld,2.0,1995,protein-ligand,6.7,ki,15.424948470398375
251,1lcp,1.65,1995,protein-ligand,6.64,ki,15.285186528023216
252,2srt,,1995,protein-ligand,,ki,15.285186528023216
253,1pdz,2.2,1995,protein-ligand,3.7,ki,8.517193191416238
254,1tyn,2.0,1995,protein-ligand,,ki,22.33270374938051
255,1hvr,1.8,1995,protein-ligand,9.51,ki,21.894448818449355
256,1atl,1.8,1995,protein-ligand,6.28,ki,14.469437025370938
257,1tpw,1.9,1995,protein-ligand,3.3,ki,7.600902459542082
258,1hpv,1.9,1995,protein-ligand,9.22,ki,21.234091460712403
259,1css,1.7,1995,protein-ligand,,ki,14.038654109278484
260,1ctu,2.3,1995,protein-ligand,11.92,ki,20.540944280152456
261,1gar,1.96,1995,protein-ligand,10.0,ki,16.11809565095832
262,1eat,2.0,1995,protein-ligand,,ki,18.0152156358442
263,1ebg,2.1,1995,protein-ligand,,ki,18.0152156358442
264,1hdt,2.6,1995,protein-ligand,,ki,17.878356453127004
265,1bty,1.5,1995,protein-ligand,4.74,ki,10.903159893349335
266,1eas,1.8,1995,protein-ligand,,ki,17.832894079050245
267,1ibg,2.7,1995,protein-ligand,,ki,19.69364641976525
268,1fiv,2.0,1995,protein-ligand,6.59,ki,15.162584205930884
269,1bma,1.8,1995,protein-ligand,4.59,ki,10.557414019942792
270,1ctt,2.2,1995,protein-ligand,4.52,ki,10.41431317630212
271,1csr,1.7,1995,protein-ligand,,ki,16.985596218663044
272,1hbv,2.3,1995,protein-ligand,6.37,ki,14.659480628258803
273,1std,2.9,1995,protein-ligand,,ki,16.87311823523635
274,1qca,2.2,1995,protein-ligand,,ki,12.129111604394046
275,1hvs,2.25,1995,protein-ligand,10.3,ki,16.811242831518264
276,1hii,2.3,1995,protein-ligand,7.28,ki,16.75297392339429
277,1lan,1.9,1995,protein-ligand,7.22,ki,16.62892127472431
278,1hti,2.8,1995,protein-ligand,,ki,11.81403055775415
279,1ppi,2.2,1995,protein-ligand,5.01,ki,11.543384672454938
280,1hih,2.2,1995,protein-ligand,8.05,ki,18.526041259610192
281,1vrt,2.2,1996,protein-ligand,,ic50,16.34123920227253
282,1vru,2.4,1996,protein-ligand,,ic50,16.11809565095832
283,1rth,2.2,1996,protein-ligand,,ic50,14.73180128983843
284,1bil,2.4,1996,protein-ligand,,ic50,21.416413017506358
285,1pig,2.2,1996,protein-ligand,,ic50,21.079940780885142
286,1bim,2.8,1996,protein-ligand,,ic50,20.540944280152456
287,1fpi,2.3,1996,protein-ligand,,ic50,13.553146293496782
288,1inf,2.4,1996,protein-ligand,,ic50,11.512925464970229
289,1cwc,1.86,1996,protein-ligand,,ic50,17.95067711470663
290,1rti,3.0,1996,protein-ligand,,ic50,10.982297213908058
291,1gym,2.2,1996,protein-ligand,,ic50,6.214608098422191
292,1cpi,2.05,1996,protein-ligand,,ic50,17.059704190816763
293,1mik,1.76,1996,protein-ligand,,ic50,14.614018254182046
294,1inh,2.4,1996,protein-ligand,,ic50,5.298317366548036
